"";"player_id";"fantasy_pts";"year"
"730";"10656";"0";"2019"
"731";"10655";"108.5";"2019"
"732";"10154";"122.1";"2019"
"733";"10038";"2.7";"2019"
"734";"9964";"41";"2019"
"735";"9579";"182.8";"2019"
"736";"9540";"23.5";"2019"
"737";"9509";"125.7";"2019"
"738";"9474";"4.7";"2019"
"739";"9459";"98.2";"2019"
"740";"9453";"72.5";"2019"
"741";"9447";"192.5";"2019"
"742";"9079";"49.6";"2019"
"743";"8725";"3.8";"2019"
"744";"8696";"194.1";"2019"
"745";"8691";"51.8";"2019"
"746";"8688";"150.4";"2019"
"747";"8655";"91";"2019"
"748";"8642";"197.2";"2019"
"749";"8639";"109.2";"2019"
"750";"7808";"212.3";"2019"
"751";"7472";"3";"2019"
"752";"7048";"100.7";"2019"
"753";"6468";"8.3";"2019"
"754";"6158";"212.3";"2019"
"755";"4467";"0";"2019"
"756";"48341";"70.5";"2019"
"757";"48213";"2.5";"2019"
"758";"48021";"10";"2019"
"759";"47961";"12.9";"2019"
"760";"47509";"89.8";"2019"
"761";"45416";"40.7";"2019"
"762";"39588";"3.7";"2019"
"763";"39145";"0";"2019"
"764";"29578";"6.6";"2019"
"765";"29347";"0.6";"2019"
"766";"12258";"38.6";"2019"
"767";"12043";"8.6";"2019"
"768";"11824";"201.1";"2019"
"769";"10689";"171.5";"2019"
"770";"10075";"68";"2019"
"771";"9538";"142.2";"2019"
"772";"8999";"75.9";"2019"
"773";"8943";"57.7";"2019"
"774";"7118";"40.9";"2019"
"775";"6216";"116.8";"2019"
"776";"5612";"4.2";"2019"
"777";"5585";"113.4";"2019"
"778";"5156";"194.3";"2019"
"779";"4717";"102.2";"2019"
"780";"1724";"134.4";"2019"
"781";"8995";"0";"2019"
"782";"91248";"6.5";"2019"
"783";"66915";"31.7";"2019"
"784";"48228";"48.3";"2019"
"785";"48170";"7.1";"2019"
"786";"48160";"101.5";"2019"
"787";"48143";"18.8";"2019"
"788";"48017";"0";"2019"
"789";"47940";"29.1";"2019"
"790";"47882";"58.6";"2019"
"791";"47698";"41.6";"2019"
"792";"47468";"48.9";"2019"
"793";"44771";"66";"2019"
"794";"42247";"0";"2019"
"795";"38276";"37.5";"2019"
"796";"33158";"0";"2019"
"797";"23254";"0";"2019"
"798";"12303";"110.9";"2019"
"799";"12215";"1.4";"2019"
"800";"11888";"6.7";"2019"
"801";"11865";"103";"2019"
"802";"11839";"231.1";"2019"
"803";"11817";"91.6";"2019"
"804";"11163";"8.1";"2019"
"805";"11141";"54.2";"2019"
"806";"11028";"26";"2019"
"807";"10918";"39.7";"2019"
"808";"10774";"67.6";"2019"
"809";"10751";"40.1";"2019"
"810";"10657";"28.9";"2019"
"811";"9502";"180.1";"2019"
"812";"8759";"1.5";"2019"
"813";"8698";"180.7";"2019"
"814";"8128";"41";"2019"
"815";"7857";"190.8";"2019"
"816";"7330";"147.3";"2019"
"817";"6597";"23";"2019"
"818";"95015";"4.4";"2019"
"819";"94379";"0";"2019"
"820";"91470";"7.2";"2019"
"821";"61737";"12.7";"2019"
"822";"50293";"5.6";"2019"
"823";"48297";"28.1";"2019"
"824";"48230";"10.8";"2019"
"825";"48192";"82.5";"2019"
"826";"48113";"28.4";"2019"
"827";"48110";"3.3";"2019"
"828";"48078";"38";"2019"
"829";"47931";"46.7";"2019"
"830";"47900";"14.6";"2019"
"831";"47792";"112.5";"2019"
"832";"47702";"181.9";"2019"
"833";"47546";"122.1";"2019"
"834";"47508";"0";"2019"
"835";"47417";"0";"2019"
"836";"41406";"29.8";"2019"
"837";"34164";"0";"2019"
