"";"player_id";"fantasy_pts";"year";"sleeper_id"
"459";"8283";"2.1";"2018";"1564"
"460";"7997";"7.1";"2018";"1369"
"461";"7912";"52.5";"2018";"1379"
"462";"7572";"2.3";"2018";"1308"
"463";"7377";"3";"2018";"1716"
"464";"7024";"0";"2018";"1141"
"465";"6997";"8.6";"2018";"1305"
"466";"6515";"2.2";"2018";"815"
"467";"6288";"16.9";"2018";"973"
"468";"6142";"36.2";"2018";"1303"
"469";"5605";"0";"2018";"546"
"470";"51837";"36.7";"2018";"4435"
"471";"47294";"23.5";"2018";"4973"
"472";"47268";"0";"2018";"5756"
"473";"47206";"4.7";"2018";"5253"
"474";"30762";"31.6";"2018";"5010"
"475";"12320";"28.8";"2018";"4571"
"476";"12206";"0";"2018";"4314"
"477";"12078";"26.2";"2018";"4054"
"478";"12007";"0";"2018";"4229"
"479";"11929";"7.3";"2018";"4189"
"480";"11784";"108.2";"2018";"4033"
"481";"11341";"0";"2018";"3526"
"482";"11335";"5.7";"2018";"3465"
"483";"11326";"0";"2018";"3824"
"484";"11148";"9.1";"2018";"3472"
"485";"11051";"9.2";"2018";"3668"
"486";"10851";"6";"2018";"3372"
"487";"10822";"6.1";"2018";"3344"
"488";"10772";"15.9";"2018";"3296"
"489";"10728";"55.7";"2018";"3258"
"490";"10715";"116.3";"2018";"3202"
"491";"9980";"0";"2018";"2714"
"492";"9884";"9.2";"2018";"3036"
"493";"9653";"7.7";"2018";"2519"
"494";"9606";"29.4";"2018";"2476"
"495";"9593";"69.3";"2018";"2463"
"496";"9590";"82.3";"2018";"2460"
"497";"9550";"10.2";"2018";"2422"
"498";"9400";"0";"2018";"2304"
"499";"9303";"30.7";"2018";"1975"
"500";"9185";"113.3";"2018";"1793"
"501";"8954";"16.7";"2018";"2040"
"502";"8733";"1.2";"2018";"2146"
"503";"8673";"20.5";"2018";"2222"
"504";"8645";"176.2";"2018";"2118"
"505";"7915";"30.5";"2018";"1642"
"506";"7866";"93.8";"2018";"1500"
"507";"7802";"31.4";"2018";"1388"
"508";"7116";"3.8";"2018";"1065"
"509";"7066";"4.2";"2018";"1105"
"510";"6199";"32.5";"2018";"964"
"511";"5567";"105.3";"2018";"515"
"512";"5546";"12.9";"2018";"530"
"513";"5132";"1.4";"2018";"406"
"514";"2951";"61.2";"2018";"200"
"515";"51842";"26";"2018";"4741"
"516";"47436";"82.8";"2018";"5012"
"517";"47304";"15.4";"2018";"5001"
"518";"47298";"0";"2018";"5194"
"519";"47272";"69.7";"2018";"5022"
"520";"47257";"5.1";"2018";"5008"
"521";"47243";"0";"2018";"5288"
"522";"47164";"91.4";"2018";"5009"
"523";"47153";"27.9";"2018";"4993"
"524";"47124";"10.2";"2018";"5133"
"525";"47050";"31";"2018";"5032"
"526";"42130";"48.7";"2018";"4995"
"527";"42062";"54.4";"2018";"5117"
"528";"29556";"0";"2018";"5277"
"529";"24606";"8.3";"2018";"4468"
"530";"20994";"1.3";"2018";"5285"
"531";"12267";"2.8";"2018";"4678"
