Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende
Tee Higgins;61211;2021;5;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;6;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;7;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;8;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;9;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;10;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;11;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;12;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;13;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;14;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;15;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;16;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;0;Lutz1904;6230000;1557500;;;;;Roster;;2024
Tee Higgins;61211;2022;1;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;2;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;3;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;4;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;5;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;6;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;7;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;8;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2022;9;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
