"";"player_id";"fantasy_pts";"year";"sleeper_id";"position"
"350";"30228";"6.4";"2019";"6115";"RB"
"351";"29539";"22.7";"2019";"5131";"RB"
"352";"29413";"30.8";"2019";"5284";"RB"
"353";"28219";"25.3";"2019";"6311";"RB"
"354";"27589";"83.9";"2019";"4962";"RB"
"355";"27414";"68.1";"2019";"4985";"RB"
"356";"27126";"64.4";"2019";"5967";"RB"
"357";"26618";"45";"2019";"5100";"RB"
"358";"26392";"14.5";"2019";"6175";"RB"
"359";"25681";"-0.8";"2019";"5464";"RB"
"360";"13014";"46.6";"2019";"5549";"RB"
"361";"12888";"0";"2019";"5271";"RB"
"362";"12660";"128.3";"2019";"5170";"RB"
"363";"12329";"35.3";"2019";"4718";"RB"
"364";"12271";"82.4";"2019";"4455";"RB"
"365";"12164";"223.2";"2019";"4663";"RB"
"366";"12004";"170.7";"2019";"4273";"RB"
"367";"11937";"217";"2019";"4199";"RB"
"368";"11935";"1.1";"2019";"4186";"RB"
"369";"11911";"42.7";"2019";"4187";"RB"
"370";"11898";"119.2";"2019";"4152";"RB"
"371";"11895";"31.4";"2019";"4150";"RB"
"372";"11889";"89.6";"2019";"4149";"RB"
"373";"11874";"46";"2019";"4157";"RB"
"374";"11869";"0";"2019";"4147";"RB"
"375";"11860";"92";"2019";"4137";"RB"
"376";"11841";"53.5";"2019";"4098";"RB"
"377";"11822";"136.6";"2019";"4035";"RB"
"378";"11803";"123.6";"2019";"4018";"RB"
"379";"11797";"0";"2019";"4091";"DB"
"380";"11796";"222.3";"2019";"4029";"RB"
"381";"11763";"319.3";"2019";"4034";"RB"
"382";"11759";"157.3";"2019";"3969";"RB"
"383";"11473";"3.8";"2019";"3934";"RB"
"384";"11395";"40.8";"2019";"3868";"RB"
"385";"11104";"2.2";"2019";"3688";"RB"
"386";"11047";"51.3";"2019";"3664";"RB"
"387";"10927";"54";"2019";"3594";"RB"
"388";"10907";"0.3";"2019";"3453";"RB"
"389";"10870";"9.3";"2019";"3391";"RB"
"390";"10790";"35.8";"2019";"3312";"RB"
"391";"10787";"10";"2019";"3309";"RB"
"392";"10784";"79.3";"2019";"3306";"RB"
"393";"10783";"1.1";"2019";"3211";"RB"
"394";"10777";"58.9";"2019";"3300";"RB"
"395";"10770";"3.8";"2019";"3209";"RB"
"396";"10753";"0.7";"2019";"3280";"RB"
"397";"10724";"16.1";"2019";"3204";"RB"
"398";"10707";"127.3";"2019";"3242";"RB"
"399";"10679";"217.3";"2019";"3198";"RB"
"400";"10639";"0";"2019";"3160";"CB"
"401";"10638";"198.4";"2019";"3164";"RB"
"402";"9902";"30.3";"2019";"2588";"RB"
"403";"9783";"131.8";"2019";"2749";"RB"
"404";"9761";"-0.1";"2019";"2560";"RB"
"405";"9601";"-1";"2019";"2471";"FB"
"406";"9582";"0";"2019";"2452";"RB"
"407";"9559";"-0.6";"2019";"2431";"RB"
"408";"9558";"5.9";"2019";"2430";"RB"
"409";"9527";"12.1";"2019";"2399";"WR"
"410";"9519";"95";"2019";"2391";"RB"
"411";"9510";"92.6";"2019";"2382";"RB"
"412";"9506";"87.2";"2019";"2378";"RB"
"413";"9487";"18.9";"2019";"2359";"RB"
"414";"9469";"18";"2019";"2341";"RB"
"415";"9448";"87.2";"2019";"2320";"RB"
"416";"9443";"121";"2019";"2315";"RB"
"417";"9205";"64.9";"2019";"1833";"RB"
"418";"8765";"109.2";"2019";"1848";"RB"
"419";"8738";"106.1";"2019";"2168";"RB"
"420";"8692";"114.3";"2019";"2257";"RB"
"421";"8101";"0.6";"2019";"1451";"RB"
"422";"8000";"0";"2019";"1343";"DB"
"423";"7975";"1.6";"2019";"1601";"RB"
"424";"7971";"66.9";"2019";"1387";"RB"
"425";"7963";"4";"2019";"1546";"RB"
"426";"7962";"94.4";"2019";"1476";"RB"
"427";"7936";"53.5";"2019";"1502";"RB"
"428";"7896";"0";"2019";"1488";"CB"
"429";"7829";"97.6";"2019";"1408";"RB"
"430";"7818";"29";"2019";"1386";"RB"
"431";"7469";"37.8";"2019";"1034";"RB"
"432";"7165";"0.3";"2019";"1170";"RB"
"433";"6301";"33.2";"2019";"788";"RB"
"434";"6278";"13.5";"2019";"818";"RB"
"435";"6180";"197";"2019";"956";"RB"
"436";"4976";"80.7";"2019";"676";"RB"
"437";"3623";"102.4";"2019";"184";"RB"
"438";"2347";"2.5";"2019";"246";"RB"
"439";"2282";"52.4";"2019";"232";"RB"
"440";"48862";"6.4";"2019";"4353";"FB"
"441";"45775";"0";"2019";"6144";"RB"
"442";"45753";"0";"2019";"5163";"RB"
"443";"45629";"0";"2019";"6298";"FB"
"444";"45038";"0";"2019";"6553";"RB"
"445";"39258";"-0.2";"2019";"6167";"RB"
"446";"38844";"0";"2019";"6293";"FB"
"447";"34934";"8.7";"2019";"6109";"FB"
"448";"32565";"-0.5";"2019";"6202";"FB"
"449";"27413";"-0.6";"2019";"5116";"FB"
"450";"12253";"0";"2019";"4651";"RB"
"451";"11948";"3.4";"2019";"4226";"FB"
"452";"11804";"0";"2019";"4097";"LB"
"453";"11347";"19.4";"2019";"3832";"FB"
"454";"11300";"1.1";"2019";"3803";"RB"
"455";"10848";"0";"2019";"3369";"LB"
"456";"10832";"6.4";"2019";"3354";"FB"
"457";"10831";"11";"2019";"3353";"FB"
"458";"10810";"9.6";"2019";"3332";"FB"
"459";"10737";"0";"2019";"3265";"DT"
"460";"10269";"-0.2";"2019";"2174";"FB"
"461";"9468";"0";"2019";"2340";"DE"
"462";"9302";"0.9";"2019";"2073";"FB"
"463";"9184";"0";"2019";"1794";"RB"
"464";"8420";"0.7";"2019";"1693";"FB"
"465";"8077";"0";"2019";"1563";"LB"
"466";"7912";"29.4";"2019";"1379";"FB"
"467";"7572";"-4";"2019";"1308";"FB"
"468";"6997";"3.6";"2019";"1305";"FB"
"469";"6515";"7.6";"2019";"815";"FB"
"470";"6288";"2.2";"2019";"973";"RB"
"471";"6142";"-0.4";"2019";"1303";"FB"
"472";"5535";"0";"2019";"554";"DE"
"473";"91465";"17.2";"2019";"6075";"TE"
"474";"66966";"5.5";"2019";"5269";"TE"
"475";"51842";"9.2";"2019";"4741";"TE"
"476";"47333";"5.3";"2019";"5092";"TE"
"477";"47272";"84.4";"2019";"5022";"TE"
"478";"47259";"2.5";"2019";"6001";"TE"
"479";"47149";"5.6";"2019";"4362";"TE"
"480";"47124";"5.3";"2019";"5133";"TE"
"481";"47119";"0.6";"2019";"5957";"TE"
"482";"47081";"-1";"2019";"6139";"TE"
"483";"42018";"8.3";"2019";"6181";"TE"
"484";"36049";"0.3";"2019";"6018";"TE"
"485";"31849";"28.3";"2019";"5754";"TE"
"486";"29556";"7.5";"2019";"5277";"TE"
"487";"12267";"0";"2019";"4678";"TE"
"488";"12193";"14.2";"2019";"4602";"TE"
"489";"12122";"-1.7";"2019";"4323";"TE"
"490";"12007";"0";"2019";"4229";"TE"
"491";"11929";"0.7";"2019";"4189";"TE"
"492";"11778";"62.3";"2019";"4066";"TE"
"493";"11051";"3.9";"2019";"3668";"TE"
"494";"10772";"16.7";"2019";"3296";"TE"
"495";"10728";"20.7";"2019";"3258";"TE"
"496";"10320";"7.2";"2019";"3041";"TE"
"497";"10144";"9";"2019";"2751";"TE"
"498";"9786";"-0.3";"2019";"2755";"TE"
"499";"9662";"0.3";"2019";"2528";"TE"
"500";"9627";"15.3";"2019";"2495";"TE"
"501";"9550";"5.7";"2019";"2422";"TE"
"502";"9207";"42.3";"2019";"2214";"TE"
"503";"8954";"1.2";"2019";"2040";"TE"
"504";"8755";"19.1";"2019";"2251";"TE"
"505";"7844";"187.3";"2019";"1466";"TE"
"506";"7836";"30.7";"2019";"1587";"TE"
"507";"7816";"123.2";"2019";"1339";"TE"
"508";"7693";"0";"2019";"1269";"TE"
"509";"7128";"21.4";"2019";"1211";"TE"
"510";"6326";"36.4";"2019";"801";"TE"
"511";"5619";"57.6";"2019";"616";"TE"
"512";"3120";"31.5";"2019";"284";"TE"
"513";"1753";"19.8";"2019";"663";"TE"
"514";"94365";"10.7";"2019";"6451";"TE"
"515";"91468";"0";"2019";"6279";"TE"
"516";"66924";"2.2";"2019";"5409";"TE"
"517";"51837";"30.3";"2019";"4435";"TE"
"518";"48956";"3.7";"2019";"4969";"DT"
"519";"47436";"145.4";"2019";"5012";"TE"
"520";"47327";"21.8";"2019";"5094";"TE"
"521";"47304";"-0.3";"2019";"5001";"TE"
"522";"47294";"48.8";"2019";"4973";"TE"
"523";"47268";"0";"2019";"5756";"TE"
"524";"47257";"3.4";"2019";"5008";"TE"
"525";"47216";"4.1";"2019";"6137";"TE"
"526";"47186";"0";"2019";"6591";"TE"
"527";"47164";"-0.1";"2019";"5009";"TE"
"528";"47153";"73.7";"2019";"4993";"TE"
"529";"47150";"7.2";"2019";"6439";"TE"
"530";"47121";"12";"2019";"6323";"FB"
"531";"47083";"-1.5";"2019";"5973";"TE"
"532";"47050";"50.3";"2019";"5032";"TE"
"533";"47043";"42.3";"2019";"5985";"TE"
"534";"42388";"81.2";"2019";"5857";"TE"
"535";"42130";"14.3";"2019";"4995";"TE"
"536";"42062";"0";"2019";"5117";"TE"
"537";"42060";"40.5";"2019";"6126";"TE"
"538";"40973";"27.5";"2019";"6146";"TE"
"539";"40912";"41.4";"2019";"5844";"TE"
"540";"35883";"49.9";"2019";"5906";"TE"
"541";"30762";"54.8";"2019";"5010";"TE"
"542";"29686";"0";"2019";"6365";"TE"
"543";"24606";"-0.3";"2019";"4468";"TE"
"544";"23652";"0";"2019";"4605";"TE"
"545";"20994";"13.7";"2019";"5285";"TE"
"546";"12320";"58.5";"2019";"4571";"TE"
"547";"12247";"3.4";"2019";"4443";"TE"
"548";"12206";"0.3";"2019";"4314";"TE"
